id,Delivery_person_Age,time_for_pickup,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken
43589,28.0,10,4.8,15.5696,73.742294,73.762294,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Urban,13
27205,30.0,15,5.0,12.934179,77.615797,77.725797,Stormy,Low,2,Meal,scooter,0.0,No,Metropolitian,19
35434,34.0,10,4.9,0.0,0.0,0.03,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,37
9876,23.0,5,4.4,19.207222,72.972281,73.082281,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,36
9525,28.0,10,4.7,-22.53796,88.349843,88.419843,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,25
11300,39.0,5,4.1,13.022394,80.242439,80.272439,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Metropolitian,33
9072,25.0,10,4.7,0.0,0.0,0.03,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,19
19082,33.0,5,4.6,22.310526,73.170937,73.250937,Sunny,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,18
7900,25.0,10,4.8,12.913041,77.683237,77.713237,Sandstorms,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,26
7341,25.0,15,4.2,18.516216,73.842527,73.902527,Sunny,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,48
32785,38.0,15,4.5,22.751234,75.88949,75.94949,Sandstorms,Jam,1,Meal,scooter,1.0,No,Urban,26
2405,31.0,15,4.8,23.371292,85.327872,85.437872,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,35
29584,36.0,5,3.8,21.149569,72.772697,72.852697,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,34
30494,26.0,5,4.1,11.024839,77.007003,77.017003,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24
37759,33.0,15,4.9,0.0,0.0,0.11,Stormy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,29
8211,20.0,15,4.6,12.935662,77.61413,77.65413,Sandstorms,High,0,Drinks,motorcycle,0.0,No,Urban,22
2492,28.0,10,4.0,22.745049,75.892471,75.932471,Cloudy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,34
20084,27.0,10,5.0,22.311358,73.164798,73.194798,Sandstorms,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,19
21843,27.0,15,4.5,12.986047,80.218114,80.268114,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,19
32365,29.0,10,4.4,19.878028,75.317475,75.387475,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,36
9049,25.0,10,4.6,10.994136,76.963303,77.023303,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23
43035,31.0,15,4.6,12.337928,76.617889,76.657889,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Urban,26
35162,22.0,15,4.7,11.026117,76.944652,77.004652,Windy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,13
33684,29.0,15,4.6,23.333017,85.3172,85.3872,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,16
10353,23.0,10,4.7,10.96185,76.971082,77.011082,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,20
2414,32.0,15,4.2,22.74806,75.8934,76.0234,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,32
26443,38.0,5,4.6,23.359033,85.325347,85.375347,Sunny,Medium,2,Meal,scooter,0.0,No,Metropolitian,17
14084,35.0,5,4.8,12.972793,80.249982,80.329982,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28
23725,21.0,10,4.5,13.054347,80.257221,80.347221,Sunny,Jam,1,Snack,motorcycle,1.0,No,Urban,24
9535,34.0,5,4.2,26.90294,75.793007,75.923007,Stormy,Medium,2,Meal,electric_scooter,1.0,No,Urban,31
38442,34.0,5,5.0,18.927584,72.832585,72.922585,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,32
5275,21.0,15,4.7,23.354422,85.3329,85.4429,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,40
34735,38.0,15,4.8,0.0,0.0,0.05,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Urban,28
26315,37.0,10,4.8,17.431668,78.408321,78.418321,Sandstorms,High,1,Drinks,scooter,1.0,No,Metropolitian,33
35477,39.0,15,4.5,21.173343,72.792731,72.832731,Sunny,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,28
27085,24.0,5,5.0,23.357804,85.325146,85.395146,Cloudy,Medium,2,Meal,scooter,1.0,No,Urban,32
7144,27.0,10,3.7,21.185047,72.80859,72.83859,Sunny,Jam,0,Snack,motorcycle,3.0,No,Urban,53
23435,29.54,15,4.63,22.651847,75.881991,75.891991,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,27
27670,30.0,5,4.8,12.972161,77.596014,77.646014,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,19
18673,29.54,15,4.63,21.149569,72.772697,72.852697,Cloudy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,36
25793,20.0,15,4.6,18.539299,73.897902,73.977902,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Urban,13
38580,21.0,5,4.0,18.51421,73.838429,73.928429,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35
18202,27.0,5,4.8,21.185047,72.80859,72.87859,Sunny,Medium,2,Meal,scooter,1.0,No,Urban,15
17023,24.0,5,4.2,0.0,0.0,0.05,Cloudy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,32
19321,21.0,5,4.6,19.866969,75.318894,75.388894,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,24
13267,36.0,15,4.7,10.035573,76.336958,76.356958,Sunny,Low,2,Snack,scooter,0.0,No,Urban,11
36119,26.0,5,4.9,17.438263,78.397865,78.487865,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25
27488,34.0,15,4.7,22.310237,73.158921,73.238921,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,29
22020,30.0,15,4.4,10.994136,76.963303,76.993303,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,31
18299,22.0,10,4.6,26.910262,75.783013,75.793013,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,20
9064,25.0,10,4.7,30.895204,75.822103,75.872103,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,15
33311,33.0,5,4.9,12.337978,76.616792,76.666792,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,24
8023,23.0,10,4.8,11.022169,76.999594,77.019594,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,17
8686,35.0,15,3.9,21.160522,72.771477,72.881477,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,43
14076,28.0,10,4.8,21.175104,72.804342,72.894342,Sandstorms,Low,1,Meal,scooter,1.0,No,Urban,17
2540,26.0,15,4.8,19.866969,75.318894,75.448894,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,16
42498,23.0,15,4.7,0.0,0.0,0.02,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,18
35832,33.0,15,4.7,23.333017,85.3172,85.4072,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25
7514,39.0,15,4.8,26.902328,75.794257,75.814257,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,29
32783,32.0,15,4.1,26.911378,75.789034,75.849034,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,38
30146,22.0,10,5.0,17.422819,78.449578,78.519578,Stormy,Jam,2,Meal,electric_scooter,0.0,No,Urban,23
16985,22.0,15,4.6,21.149569,72.772697,72.812697,Stormy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,27
17089,31.0,5,4.3,0.0,0.0,0.07,Sandstorms,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,36
31708,33.0,5,5.0,13.005801,80.250744,80.310744,Stormy,Jam,1,Meal,motorcycle,1.0,No,Urban,25
32011,36.0,15,3.6,18.592718,73.773572,73.853572,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,31
13804,36.0,15,4.4,21.186608,72.794136,72.874136,Sandstorms,Medium,0,Drinks,motorcycle,1.0,Yes,Metropolitian,48
19907,36.0,10,4.6,12.284747,76.625861,76.635861,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30
28447,29.0,5,4.5,25.450329,81.834279,81.854279,Fog,High,1,Snack,scooter,0.0,No,Metropolitian,22
31424,32.0,10,4.6,19.207222,72.972281,72.982281,Stormy,High,1,Buffet,scooter,1.0,No,Metropolitian,27
40827,36.0,15,4.2,17.440827,78.393391,78.413391,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27
35805,26.0,5,4.7,17.429585,78.392621,78.502621,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,24
1568,35.0,15,4.1,23.351058,85.325731,85.395731,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,38
18326,35.0,15,4.8,19.121999,72.908493,72.938493,Windy,Low,1,Meal,motorcycle,1.0,No,Urban,21
15854,27.0,15,4.5,13.044694,80.26147,80.34147,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,27
38604,29.0,5,4.9,11.000762,76.981876,77.091876,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,24
35960,22.0,5,4.5,12.978453,77.643685,77.723685,Fog,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,36
8513,26.0,15,4.9,22.651847,75.881991,75.971991,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,15
37096,31.0,15,4.2,19.178321,72.834715,72.884715,Fog,Jam,0,Buffet,motorcycle,1.0,No,Urban,32
9674,37.0,5,4.6,26.913987,75.752891,75.882891,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Urban,19
32418,36.0,5,4.7,17.41233,78.449654,78.479654,Windy,Medium,1,Drinks,scooter,0.0,No,Metropolitian,29
37735,23.0,5,4.6,18.546947,73.900626,73.940626,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Metropolitian,18
13924,20.0,15,4.7,18.636215,73.751081,73.861081,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Urban,11
2967,39.0,5,4.5,18.536718,73.830327,73.840328,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,24
22844,37.0,10,5.0,12.325461,76.632278,76.712278,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,28
39312,28.0,5,4.8,30.905562,75.832841,75.882841,Fog,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,12
35387,25.0,15,4.9,23.333017,85.3172,85.3872,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,27
25261,30.0,15,4.9,22.732225,75.874765,75.904765,Fog,Medium,2,Meal,motorcycle,1.0,No,Urban,15
41856,33.0,15,5.0,11.022298,76.998349,77.068349,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,26
17313,23.0,15,5.0,19.178321,72.834715,72.924715,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,39
41457,34.0,10,4.0,0.0,0.0,0.01,Sandstorms,High,2,Snack,electric_scooter,0.0,No,Metropolitian,34
11644,33.0,5,4.7,17.411028,78.329645,78.359645,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,25
22589,22.0,10,4.6,23.354422,85.3329,85.3929,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22
20479,20.0,15,4.8,18.543626,73.905101,73.985101,Stormy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,28
11191,39.0,15,4.7,17.433809,78.386744,78.446744,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,29
26566,25.0,10,4.7,12.972793,80.249982,80.329982,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,25
15741,39.0,5,5.0,27.158822,78.045359,78.065359,Sunny,High,1,Buffet,motorcycle,1.0,No,Metropolitian,21
1672,36.0,10,4.7,18.546258,73.904337,73.964337,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,19
11958,39.0,5,4.6,23.333017,85.3172,85.3672,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,15
32105,32.0,10,5.0,13.064181,80.236442,80.326442,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43
2546,35.0,15,4.4,0.0,0.0,0.11,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,31
38994,32.0,10,4.9,21.157735,72.768778,72.828778,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,16
21135,38.0,10,4.8,10.96185,76.971082,77.081082,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,36
22155,23.0,15,4.8,0.0,0.0,0.02,Cloudy,Low,1,Snack,scooter,0.0,No,Metropolitian,12
6956,28.0,15,4.7,22.514688,88.393294,88.503294,Cloudy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,39
9149,26.0,15,4.9,21.173493,72.801953,72.821953,Fog,Low,0,Buffet,motorcycle,1.0,No,Urban,16
21222,34.0,15,4.0,11.025083,77.015393,77.105393,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,38
27951,35.0,5,4.9,21.160522,72.771477,72.861477,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,41
16113,35.0,10,4.4,30.899584,75.809346,75.849346,Windy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,33
7825,32.0,15,4.4,26.911927,75.797282,75.907282,Windy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41
13466,24.0,5,4.6,13.045479,80.23311,80.32311,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,27
16505,36.0,15,4.4,11.025083,77.015393,77.065393,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,22
39301,22.0,10,4.6,13.026286,80.275235,80.325235,Cloudy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,14
30948,36.0,15,4.4,17.455894,78.375467,78.455467,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,31
30034,24.0,5,4.7,12.970324,77.645748,77.725748,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,17
42842,38.0,15,4.9,21.183434,72.814492,72.944492,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,22
14710,23.0,15,4.9,23.369746,85.33982,85.42982,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Urban,24
13670,21.0,10,4.8,21.170798,72.790489,72.850489,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,21
3588,38.0,5,4.8,23.355164,85.324097,85.384097,Sandstorms,Medium,1,Meal,scooter,0.0,No,Metropolitian,34
28537,32.0,15,4.8,17.428294,78.404423,78.514423,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Semi-Urban,53
31152,34.0,15,4.5,18.543626,73.905101,73.935101,Sunny,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,17
23300,33.0,15,4.9,23.354422,85.3329,85.4029,Fog,Jam,1,Snack,scooter,0.0,No,Urban,49
1937,26.0,5,4.8,23.353783,85.326967,85.366967,Sandstorms,High,2,Drinks,motorcycle,0.0,No,Metropolitian,12
549,34.0,10,3.9,12.323225,76.630028,76.710028,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,33
1974,25.0,15,4.6,12.337928,76.617889,76.727889,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Urban,25
23968,35.0,10,4.1,26.846156,75.8023,75.9123,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,52
23923,22.0,15,4.5,17.458998,78.500366,78.560366,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,20
1730,27.0,10,4.6,26.921411,75.793604,75.813604,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,11
24646,38.0,10,4.8,23.374989,85.335486,85.465486,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28
24581,25.0,5,4.8,30.359722,78.067079,78.107079,Cloudy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,21
35879,26.0,15,4.8,26.913483,75.803139,75.913139,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20
30849,36.0,15,4.7,26.90519,75.810753,75.920753,Windy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,27
5915,38.0,10,4.7,0.0,0.0,0.04,Cloudy,Medium,1,Meal,scooter,0.0,No,Urban,15
35811,20.0,5,3.7,22.728163,75.884212,75.934212,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49
37074,39.0,10,4.3,12.323225,76.630028,76.740028,Stormy,Jam,2,Snack,scooter,2.0,No,Metropolitian,42
37179,26.0,5,4.9,22.527893,88.368628,88.498628,Stormy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,21
10465,32.0,10,4.2,11.022298,76.998349,77.078349,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,37
16367,33.0,10,3.8,13.029198,77.570997,77.650997,Stormy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,34
35769,35.0,5,4.6,12.978453,77.643685,77.683685,Fog,High,2,Snack,motorcycle,1.0,No,Metropolitian,28
13015,21.0,5,4.8,12.979096,77.640625,77.750625,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,36
4645,32.0,15,4.9,11.021278,76.995017,77.075017,Fog,Jam,2,Meal,electric_scooter,1.0,Yes,Metropolitian,42
30416,25.0,10,5.0,18.539299,73.897902,73.957902,Sandstorms,Medium,2,Meal,scooter,1.0,No,Metropolitian,27
4678,37.0,5,4.2,22.725835,75.887648,75.957648,Fog,Medium,1,Buffet,scooter,1.0,No,Metropolitian,34
41627,34.0,5,4.7,0.0,0.0,0.04,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28
13586,35.0,5,4.5,19.876428,75.364792,75.384792,Windy,Low,1,Snack,motorcycle,0.0,No,Urban,20
22229,25.0,15,4.9,12.934179,77.615797,77.705797,Cloudy,Low,0,Snack,motorcycle,0.0,No,Urban,24
10888,20.0,5,4.7,22.552672,88.352885,88.412885,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,23
43314,31.0,5,4.7,0.0,0.0,0.02,Sandstorms,High,2,Buffet,scooter,1.0,No,Metropolitian,27
24499,35.0,15,4.6,17.431668,78.408321,78.458321,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24
39566,27.0,10,4.8,13.049645,80.242268,80.282268,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Urban,11
16098,20.0,10,4.9,26.471617,80.313564,80.453564,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,11
17277,28.0,5,4.5,12.352058,76.60665,76.65665,Windy,Low,1,Meal,motorcycle,0.0,No,Metropolitian,16
33484,29.0,5,4.8,12.949934,77.699386,77.729386,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24
12338,23.0,5,4.7,17.450851,78.379347,78.469347,Windy,Jam,2,Drinks,scooter,1.0,No,Urban,29
31291,32.0,15,4.5,26.921411,75.793604,75.853604,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,29
11990,31.0,5,4.8,22.311358,73.164798,73.234798,Stormy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,21
36088,39.0,10,4.7,19.207222,72.972281,73.042281,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,26
17119,26.0,15,4.6,30.893384,75.821202,75.881202,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,11
5652,26.0,10,4.8,26.913726,75.75282,75.792821,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,18
20730,33.0,5,5.0,12.986047,80.218114,80.278114,Stormy,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,28
18904,38.0,10,4.3,0.0,0.0,0.11,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33
17831,30.0,15,4.8,21.157729,72.768726,72.788726,Windy,Low,1,Buffet,motorcycle,0.0,No,Urban,20
18250,27.0,10,4.8,0.0,0.0,0.03,Cloudy,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,27
2942,27.0,5,4.7,11.008638,76.984311,77.004311,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,22
28990,36.0,5,4.7,22.311358,73.164798,73.204798,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,32
345,38.0,10,3.7,18.520016,73.830547,73.940547,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,31
36015,31.0,15,4.7,22.751234,75.88949,75.90949,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,17
